FID,OBJECTID,POINT_X,POINT_Y,POINT_Z
0,1,694951.500000000000000,9554173.500000000000000,2841.999976499999800
1,2,694951.713100000050000,9554176.330700000700000,2841.999976499999800
2,3,694951.926100000040000,9554179.161399999600000,2841.612876499999900
3,4,694952.139199999980000,9554181.992200000200000,2840.999976499999800
4,5,694952.352300000030000,9554184.822899999100000,2840.999976499999800
5,6,694952.565300000020000,9554187.653599999800000,2840.782176499999900
6,7,694952.778399999950000,9554190.484300000600000,2839.999976499999800
7,8,694952.991500000000000,9554193.314999999500000,2839.999976499999800
8,9,694953.204499999990000,9554196.145800000100000,2839.886576500000000
9,10,694954.357599999990000,9554198.522600000700000,2839.087076500000000
10,11,694955.510699999980000,9554200.899499999400000,2838.999976499999800
11,12,694956.663799999980000,9554203.276300000000000,2838.447476500000000
12,13,694957.816899999980000,9554205.653200000500000,2837.999976499999800
13,14,694958.969999999970000,9554208.029999999300000,2837.999976499999800
14,15,694959.989999999990000,9554210.009999999800000,2837.778876500000000
15,16,694961.010000000010000,9554211.990000000200000,2837.221076500000000
16,17,694962.030000000030000,9554213.970000000700000,2836.990076500000200
17,18,694962.674299999960000,9554216.612700000400000,2836.100076499999900
18,19,694963.318500000050000,9554219.255500000000000,2835.999976499999800
19,20,694963.962799999980000,9554221.898199999700000,2835.367276500000100
20,21,694964.606999999960000,9554224.540899999400000,2834.999976499999800
21,22,694965.251300000000000,9554227.183700000900000,2834.966976499999900
22,23,694965.895499999980000,9554229.826400000600000,2834.508276500000200
23,24,694966.539800000030000,9554232.469200000200000,2833.999976499999800
24,25,694967.184000000010000,9554235.111899999900000,2833.962676499999800
25,26,694967.828199999990000,9554237.754599999600000,2833.081776500000200
26,27,694968.895499999980000,9554239.826400000600000,2832.818276500000100
27,28,694969.962799999980000,9554241.898199999700000,2832.242276500000100
28,29,694971.030000000030000,9554243.970000000700000,2831.999976499999800
29,30,694972.147499999960000,9554246.602499999100000,2831.999976499999800
30,31,694973.265000000010000,9554249.234999999400000,2831.254976499999900
31,32,694974.382499999950000,9554251.867499999700000,2830.999976499999800
32,33,694975.500000000000000,9554254.500000000000000,2830.749976499999800
33,34,694976.617500000050000,9554257.132500000300000,2830.079376499999900
34,35,694977.734999999990000,9554259.765000000600000,2829.999976499999800
35,36,694978.852500000040000,9554262.397500000900000,2829.867476500000100
36,37,694979.969999999970000,9554265.029999999300000,2828.999976499999800
37,38,694981.256000000050000,9554267.526399999900000,2828.999976499999800
38,39,694982.542000000020000,9554270.022700000600000,2828.999976499999800
39,40,694983.827999999980000,9554272.518999999400000,2828.357376500000100
40,41,694985.113999999940000,9554275.015399999900000,2827.999976499999800
41,42,694986.400000000020000,9554277.511700000600000,2827.718876500000100
42,43,694987.685999999990000,9554280.008099999300000,2826.999976499999800
43,44,694988.971999999950000,9554282.504400000000000,2826.999976499999800
44,45,694990.258099999980000,9554285.000700000700000,2826.193376499999900
45,46,694991.544100000060000,9554287.497099999300000,2825.500976500000000
46,47,694991.855499999950000,9554290.363700000600000,2824.999976499999800
47,48,694992.167000000020000,9554293.230299999900000,2824.557076500000200
48,49,694992.478400000020000,9554296.096999999100000,2823.999976499999800
49,50,694992.789899999970000,9554298.963600000400000,2823.678776499999900
50,51,694993.101299999980000,9554301.830199999700000,2822.999976499999800
51,52,694993.412699999990000,9554304.696900000800000,2822.767676500000100
52,53,694993.724200000060000,9554307.563500000200000,2821.999976499999800
53,54,694994.035599999940000,9554310.430099999500000,2821.856576499999800
54,55,694994.347100000010000,9554313.296800000600000,2820.999976499999800
55,56,694994.658500000020000,9554316.163400000000000,2820.945576499999800
56,57,694994.969999999970000,9554319.029999999300000,2819.999976499999800
57,58,694995.734999999990000,9554321.265000000600000,2819.815076500000000
58,59,694996.500000000000000,9554323.500000000000000,2819.249976499999800
59,60,694997.265000000010000,9554325.734999999400000,2818.999976499999800
60,61,694998.030000000030000,9554327.970000000700000,2818.990076500000200
61,62,694998.803399999980000,9554330.353299999600000,2818.157876499999900
62,63,694999.576800000040000,9554332.736600000400000,2817.999976499999800
