OID	LEFT_FID	RIGHT_FID	ORIG_FID	Puntos_x_m	Puntos_y_m	Punto_X_Km	Punto_Y_Km
-1	-1	0	0	692080,5	9562610,1	692,0805	9562,6101
-1	-1	0	0	692080,5	9562634,1	692,0805	9562,6341
-1	-1	0	0	692082,0988	9562635,636	692,0820988	9562,635636
-1	-1	0	0	692095,23	9562823,493	692,09523	9562,823493
-1	-1	0	0	692102,0021	9562906,554	692,1020021	9562,906554
-1	-1	0	0	692114,97	9562965,63	692,11497	9562,96563
-1	-1	0	0	692136,03	9563061,57	692,13603	9563,06157
-1	-1	0	0	692150,7524	9563128,639	692,1507524	9563,128639
-1	-1	0	0	692200,6473	9563193,732	692,2006473	9563,193732
-1	-1	0	0	692268,0975	9563253,396	692,2680975	9563,253396
-1	-1	0	0	692358,3057	9563290,691	692,3583057	9563,290691
-1	-1	0	0	692458,0556	9563314,532	692,4580556	9563,314532
-1	-1	0	0	692494,4718	9563354,438	692,4944718	9563,354438
-1	-1	0	0	692548,8519	9563428,359	692,5488519	9563,428359
-1	-1	0	0	692546,8331	9563527,28	692,5468331	9563,52728
-1	-1	0	0	692555,1445	9563623,911	692,5551445	9563,623911
-1	-1	0	0	692571,7414	9563718,786	692,5717414	9563,718786
-1	-1	0	0	692567,2429	9563793,674	692,5672429	9563,793674
-1	-1	0	0	692576,0045	9563992,889	692,5760045	9563,992889
-1	-1	0	0	692586,6644	9564144,599	692,5866644	9564,144599
-1	-1	0	0	692568,0802	9564233,374	692,5680802	9564,233374
-1	-1	0	0	692552,8816	9564398,24	692,5528816	9564,39824
-1	-1	0	0	692514,2093	9564511,224	692,5142093	9564,511224
-1	-1	0	0	692546,9997	9564573,372	692,5469997	9564,573372
-1	-1	0	0	692566,9698	9564603,831	692,5669698	9564,603831
-1	-1	0	0	692606,7842	9564658,34	692,6067842	9564,65834
-1	-1	0	0	692615,97	9564681,63	692,61597	9564,68163
-1	-1	0	0	692697,8832	9564832,164	692,6978832	9564,832164
-1	-1	0	0	692724,3247	9564919,544	692,7243247	9564,919544
-1	-1	0	0	692714,2723	9564976,958	692,7142723	9564,976958
-1	-1	0	0	692681,97	9565077,57	692,68197	9565,07757
-1	-1	0	0	692678,9212	9565133,63	692,6789212	9565,13363
-1	-1	0	0	692634,3974	9565257,682	692,6343974	9565,257682
-1	-1	0	0	692598,4216	9565310,756	692,5984216	9565,310756
-1	-1	0	0	692583,1527	9565344,864	692,5831527	9565,344864
-1	-1	0	0	692551,6524	9565426,187	692,5516524	9565,426187
-1	-1	0	0	692534,97	9565458,57	692,53497	9565,45857
-1	-1	0	0	692454,5816	9565616,438	692,4545816	9565,616438
-1	-1	0	0	692415,03	9565689,63	692,41503	9565,68963
-1	-1	0	0	692361,6836	9565788,267	692,3616836	9565,788267
-1	-1	0	0	692318,638	9565890,865	692,318638	9565,890865
-1	-1	0	0	692279,6951	9565960,528	692,2796951	9565,960528
-1	-1	0	0	692265,9625	9566033,192	692,2659625	9566,033192
-1	-1	0	0	692260,9656	9566121,274	692,2609656	9566,121274
-1	-1	0	0	692293,0729	9566187,454	692,2930729	9566,187454
-1	-1	0	0	692351,5326	9566243,621	692,3515326	9566,243621
-1	-1	0	0	692444,7039	9566343,262	692,4447039	9566,343262
-1	-1	0	0	692498,97	9566394,63	692,49897	9566,39463
-1	-1	0	0	692560,3303	9566451,089	692,5603303	9566,451089
-1	-1	0	0	692758,4799	9566661,537	692,75848	9566,661537
-1	-1	0	0	692860,4824	9566744,513	692,8604824	9566,744513
-1	-1	0	0	692900,8866	9566791,36	692,9008866	9566,79136
-1	-1	0	0	692946,8401	9566853,827	692,9468401	9566,853827
-1	-1	0	0	692969,7148	9566892,361	692,9697148	9566,892361
-1	-1	0	0	693024,5767	9566950,146	693,0245767	9566,950146
-1	-1	0	0	693038,196	9566978,218	693,038196	9566,978218
-1	-1	0	0	693059,4567	9567016,996	693,0594567	9567,016996
-1	-1	0	0	693077,97	9567075,929	693,07797	9567,075929
-1	-1	0	0	693074,6755	9567146,189	693,0746755	9567,146189
-1	-1	0	0	693068,05	9567193,65	693,06805	9567,19365
-1	-1	0	0	693046,3464	9567311,623	693,0463464	9567,311623
-1	-1	0	0	693017,75	9567489,748	693,01775	9567,489748
-1	-1	0	0	692977,1149	9567488,919	692,9771149	9567,488919
-1	-1	0	0	692950,69	9567506,244	692,95069	9567,506244
-1	-1	0	0	692934,2751	9567549,618	692,9342751	9567,549618
-1	-1	0	0	692933,3631	9567594,308	692,9333631	9567,594308
-1	-1	0	0	692937,15	9567663,94	692,93715	9567,66394
-1	-1	0	0	692942,97	9567705,63	692,94297	9567,70563
-1	-1	0	0	692954,97	9567775,983	692,95497	9567,775983
-1	-1	0	0	692952,03	9567849,63	692,95203	9567,84963
-1	-1	0	0	692943,03	9568014,393	692,94303	9568,014393
-1	-1	0	0	692946,5839	9568047,318	692,9465839	9568,047318
-1	-1	0	0	692979,8042	9568149,69	692,9798042	9568,14969
-1	-1	0	0	692997,79	9568191,26	692,99779	9568,19126
-1	-1	0	0	693010,9814	9568247,957	693,0109814	9568,247957
-1	-1	0	0	693017,2485	9568309,276	693,0172485	9568,309276
-1	-1	0	0	693018,2143	9568356,6	693,0182143	9568,3566
-1	-1	0	0	693017,7913	9568377,327	693,0177913	9568,377327
-1	-1	0	0	693064,4914	9568456,466	693,0644914	9568,456466
-1	-1	0	0	693097,1394	9568519,841	693,0971394	9568,519841
-1	-1	0	0	693133,9938	9568616,251	693,1339938	9568,616251
-1	-1	0	0	693138,03	9568671,57	693,13803	9568,67157
-1	-1	0	0	693140,9892	9568879,985	693,1409892	9568,879985
-1	-1	0	0	693162,6634	9568979,203	693,1626634	9568,979203
-1	-1	0	0	693173,6926	9569069,461	693,1736926	9569,069461
-1	-1	0	0	693209,3237	9569147,396	693,2093237	9569,147396
